"DATE","CASES","AVERAGE"
"2020-03-01",19,2.7142857142857144
"2020-03-02",19,5.428571428571429
"2020-03-03",34,10.285714285714286
"2020-03-04",53,17.857142857142858
"2020-03-05",81,29.428571428571427
"2020-03-06",110,45.142857142857146
"2020-03-07",27,49
"2020-03-08",64,55.42857142857143
"2020-03-09",94,66.14285714285714
"2020-03-10",99,75.42857142857143
"2020-03-11",174,92.71428571428571
"2020-03-12",250,116.85714285714286
"2020-03-13",338,149.42857142857142
"2020-03-14",179,171.14285714285714
"2020-03-15",214,192.57142857142858
"2020-03-16",387,234.42857142857142
"2020-03-17",422,280.57142857142856
"2020-03-18",534,332
"2020-03-19",713,398.14285714285717
"2020-03-20",662,444.42857142857144
"2020-03-21",469,485.85714285714283
"2020-03-22",486,524.7142857142857
"2020-03-23",1328,659.1428571428571
"2020-03-24",1195,769.5714285714286
"2020-03-25",1199,864.5714285714286
"2020-03-26",1363,957.4285714285714
"2020-03-27",1518,1079.7142857142858
"2020-03-28",844,1133.2857142857142
"2020-03-29",683,1161.4285714285713
"2020-03-30",1738,1220
"2020-03-31",1681,1289.4285714285713
"2020-04-01",1516,1334.7142857142858
"2020-04-02",1478,1351.142857142857
"2020-04-03",1694,1376.2857142857142
"2020-04-04",922,1387.4285714285713
"2020-04-05",665,1384.857142857143
"2020-04-06",1934,1412.857142857143
"2020-04-07",1515,1389.142857142857
"2020-04-08",1598,1400.857142857143
"2020-04-09",2239,1509.5714285714287
"2020-04-10",2336,1601.2857142857142
"2020-04-11",1029,1616.5714285714287
"2020-04-12",524,1596.4285714285713
"2020-04-13",537,1396.857142857143
"2020-04-14",1560,1403.2857142857142
"2020-04-15",1633,1408.2857142857142
"2020-04-16",1674,1327.5714285714287
"2020-04-17",1394,1193
"2020-04-18",722,1149.142857142857
"2020-04-19",443,1137.5714285714287
"2020-04-20",1276,1243.142857142857
"2020-04-21",1270,1201.7142857142858
"2020-04-22",777,1079.4285714285713
"2020-04-23",976,979.7142857142857
"2020-04-24",811,896.4285714285714
"2020-04-25",388,848.7142857142857
"2020-04-26",205,814.7142857142857
"2020-04-27",755,740.2857142857143
"2020-04-28",569,640.1428571428571
"2020-04-29",522,603.7142857142857
"2020-04-30",586,548
"2020-05-01",237,466
"2020-05-02",286,451.42857142857144
"2020-05-03",140,442.14285714285717
"2020-05-04",670,430
"2020-05-05",546,426.7142857142857
"2020-05-06",552,431
"2020-05-07",442,410.42857142857144
"2020-05-08",483,445.57142857142856
"2020-05-09",240,439
"2020-05-10",118,435.85714285714283
"2020-05-11",476,408.14285714285717
"2020-05-12",395,386.57142857142856
"2020-05-13",321,353.57142857142856
"2020-05-14",305,334
"2020-05-15",346,314.42857142857144
"2020-05-16",147,301.14285714285717
"2020-05-17",81,295.85714285714283
"2020-05-18",317,273.14285714285717
"2020-05-19",292,258.42857142857144
"2020-05-20",385,267.57142857142856
"2020-05-21",70,234
"2020-05-22",248,220
"2020-05-23",123,216.57142857142858
"2020-05-24",75,215.71428571428572
"2020-05-25",314,215.28571428571428
"2020-05-26",202,202.42857142857142
"2020-05-27",182,173.42857142857142
"2020-05-28",171,187.85714285714286
"2020-05-29",165,176
"2020-05-30",61,167.14285714285714
"2020-05-31",49,163.42857142857142
"2020-06-01",59,127
"2020-06-02",181,124
"2020-06-03",159,120.71428571428571
"2020-06-04",172,120.85714285714286
"2020-06-05",154,119.28571428571429
"2020-06-06",69,120.42857142857143
"2020-06-07",53,121
"2020-06-08",152,134.28571428571428
"2020-06-09",145,129.14285714285714
"2020-06-10",119,123.42857142857143
"2020-06-11",95,112.42857142857143
"2020-06-12",89,103.14285714285714
"2020-06-13",49,100.28571428571429
"2020-06-14",22,95.85714285714286
"2020-06-15",147,95.14285714285714
"2020-06-16",99,88.57142857142857
"2020-06-17",123,89.14285714285714
"2020-06-18",108,91
"2020-06-19",121,95.57142857142857
"2020-06-20",50,95.71428571428571
"2020-06-21",20,95.42857142857143
"2020-06-22",143,94.85714285714286
"2020-06-23",110,96.42857142857143
"2020-06-24",100,93.14285714285714
"2020-06-25",76,88.57142857142857
"2020-06-26",113,87.42857142857143
"2020-06-27",41,86.14285714285714
"2020-06-28",24,86.71428571428571
"2020-06-29",127,84.42857142857143
"2020-06-30",100,83
"2020-07-01",135,88
"2020-07-02",93,90.42857142857143
"2020-07-03",94,87.71428571428571
"2020-07-04",64,91
"2020-07-05",24,91
"2020-07-06",112,88.85714285714286
"2020-07-07",99,88.71428571428571
"2020-07-08",137,89
"2020-07-09",124,93.42857142857143
"2020-07-10",127,98.14285714285714
"2020-07-11",62,97.85714285714286
"2020-07-12",43,100.57142857142857
"2020-07-13",224,116.57142857142857
"2020-07-14",207,132
"2020-07-15",260,149.57142857142858
"2020-07-16",226,164.14285714285714
"2020-07-17",274,185.14285714285714
"2020-07-18",130,194.85714285714286
"2020-07-19",64,197.85714285714286
"2020-07-20",443,229.14285714285714
"2020-07-21",145,220.28571428571428
"2020-07-22",553,262.14285714285717
"2020-07-23",439,292.57142857142856
"2020-07-24",496,324.2857142857143
"2020-07-25",229,338.42857142857144
"2020-07-26",184,355.57142857142856
"2020-07-27",595,377.2857142857143
"2020-07-28",685,454.42857142857144
"2020-07-29",703,475.85714285714283
"2020-07-30",635,503.85714285714283
"2020-07-31",684,530.7142857142857
"2020-08-01",309,542.1428571428571
"2020-08-02",148,537
"2020-08-03",794,565.4285714285714
"2020-08-04",813,583.7142857142857
"2020-08-05",767,592.8571428571429
"2020-08-06",769,612
"2020-08-07",771,624.4285714285714
"2020-08-08",304,623.7142857142857
"2020-08-09",122,620
"2020-08-10",873,631.2857142857143
"2020-08-11",718,617.7142857142857
"2020-08-12",609,595.1428571428571
"2020-08-13",669,580.8571428571429
"2020-08-14",587,554.5714285714286
"2020-08-15",163,534.4285714285714
"2020-08-16",132,535.8571428571429
"2020-08-17",707,512.1428571428571
"2020-08-18",725,513.1428571428571
"2020-08-19",612,513.5714285714286
"2020-08-20",581,501
"2020-08-21",510,490
"2020-08-22",203,495.7142857142857
"2020-08-23",115,493.2857142857143
"2020-08-24",607,479
"2020-08-25",527,450.7142857142857
"2020-08-26",526,438.42857142857144
"2020-08-27",535,431.85714285714283
"2020-08-28",614,446.7142857142857
"2020-08-29",195,445.57142857142856
"2020-08-30",117,445.85714285714283
"2020-08-31",634,449.7142857142857
"2020-09-01",565,455.14285714285717
"2020-09-02",574,462
"2020-09-03",677,482.2857142857143
"2020-09-04",728,498.57142857142856
"2020-09-05",322,516.7142857142857
"2020-09-06",155,522.1428571428571
"2020-09-07",918,562.7142857142857
"2020-09-08",871,606.4285714285714
"2020-09-09",1024,670.7142857142857
"2020-09-10",1143,737.2857142857143
"2020-09-11",1284,816.7142857142857
"2020-09-12",617,858.8571428571429
"2020-09-13",301,879.7142857142857
"2020-09-14",1724,994.8571428571429
"2020-09-15",1628,1103
"2020-09-16",1942,1234.142857142857
"2020-09-17",1750,1320.857142857143
"2020-09-18",1709,1381.5714285714287
"2020-09-19",894,1421.142857142857
"2020-09-20",461,1444
"2020-09-21",2202,1512.2857142857142
"2020-09-22",2074,1576
"2020-09-23",2096,1598
"2020-09-24",1795,1604.4285714285713
"2020-09-25",1623,1592.142857142857
"2020-09-26",944,1599.2857142857142
"2020-09-27",540,1610.5714285714287
"2020-09-28",2782,1693.4285714285713
"2020-09-29",2984,1823.4285714285713
"2020-09-30",3243,1987.2857142857142
"2020-10-01",3410,2218
"2020-10-02",3721,2517.714285714286
"2020-10-03",1709,2627
"2020-10-04",1035,2697.714285714286
"2020-10-05",5249,3050.1428571428573
"2020-10-06",5687,3436.285714285714
"2020-10-07",6803,3944.8571428571427
"2020-10-08",6588,4398.857142857143
"2020-10-09",7789,4980
"2020-10-10",4310,5351.571428571428
"2020-10-11",2403,5547
"2020-10-12",9736,6188
"2020-10-13",12578,7172.428571428572
"2020-10-14",12303,7958.142857142857
"2020-10-15",11818,8705.285714285714
"2020-10-16",13477,9517.857142857143
"2020-10-17",7995,10044.285714285714
"2020-10-18",4289,10313.714285714286
"2020-10-19",15561,11145.857142857143
"2020-10-20",19265,12101.142857142857
"2020-10-21",17487,12841.714285714286
"2020-10-22",17687,13680.142857142857
"2020-10-23",18877,14451.57142857143
"2020-10-24",11557,14960.42857142857
"2020-10-25",4895,15047
"2020-10-26",19868,15662.285714285714
"2020-10-27",22210,16083
"2020-10-28",17998,16156
"2020-10-29",15090,15785
"2020-10-30",15403,15288.714285714286
"2020-10-31",6308,14538.857142857143
"2020-11-01",2667,14220.57142857143
"2020-11-02",13858,13362
"2020-11-03",12103,11918.142857142857
"2020-11-04",9230,10665.57142857143
"2020-11-05",7660,9604.142857142857
"2020-11-06",6648,8353.42857142857
"2020-11-07",3046,7887.428571428572
"2020-11-08",1448,7713.285714285715
"2020-11-09",8636,6967.285714285715
"2020-11-10",7701,6338.428571428572
"2020-11-11",2004,5306.142857142857
"2020-11-12",6482,5137.857142857143
"2020-11-13",5711,5004
"2020-11-14",2371,4907.571428571428
"2020-11-15",1057,4851.714285714285
"2020-11-16",5821,4449.571428571428
"2020-11-17",4829,4039.285714285714
"2020-11-18",3703,4282
"2020-11-19",3019,3787.285714285714
"2020-11-20",3082,3411.714285714286
"2020-11-21",1263,3253.4285714285716
"2020-11-22",589,3186.5714285714284
"2020-11-23",3958,2920.4285714285716
"2020-11-24",2877,2641.5714285714284
"2020-11-25",2683,2495.8571428571427
"2020-11-26",2428,2411.4285714285716
"2020-11-27",2741,2362.714285714286
"2020-11-28",1006,2326
"2020-11-29",560,2321.8571428571427
"2020-11-30",3304,2228.4285714285716
"2020-12-01",2698,2202.8571428571427
"2020-12-02",2618,2193.5714285714284
"2020-12-03",2386,2187.5714285714284
"2020-12-04",2567,2162.714285714286
"2020-12-05",1101,2176.285714285714
"2020-12-06",601,2182.1428571428573
"2020-12-07",3371,2191.714285714286
"2020-12-08",2723,2195.285714285714
"2020-12-09",2769,2216.8571428571427
"2020-12-10",2675,2258.1428571428573
"2020-12-11",2918,2308.285714285714
"2020-12-12",1595,2378.8571428571427
"2020-12-13",742,2399
"2020-12-14",3843,2466.4285714285716
"2020-12-15",3239,2540.1428571428573
"2020-12-16",2856,2552.5714285714284
"2020-12-17",2794,2569.5714285714284
"2020-12-18",2835,2557.714285714286
"2020-12-19",1461,2538.5714285714284
"2020-12-20",655,2526.1428571428573
"2020-12-21",3394,2462
"2020-12-22",2707,2386
"2020-12-23",2462,2329.714285714286
"2020-12-24",1783,2185.285714285714
"2020-12-25",520,1854.5714285714287
"2020-12-26",1159,1811.4285714285713
"2020-12-27",558,1797.5714285714287
"2020-12-28",2749,1705.4285714285713
"2020-12-29",2420,1664.4285714285713
"2020-12-30",2081,1610
"2020-12-31",1721,1601.142857142857
"2021-01-01",471,1594.142857142857
"2021-01-02",1120,1588.5714285714287
"2021-01-03",821,1626.142857142857
"2021-01-04",3121,1679.2857142857142
"2021-01-05",2823,1736.857142857143
"2021-01-06",2518,1799.2857142857142
"2021-01-07",1979,1836.142857142857
"2021-01-08",2013,2056.4285714285716
"2021-01-09",1393,2095.4285714285716
"2021-01-10",856,2100.4285714285716
"2021-01-11",3079,2094.4285714285716
"2021-01-12",2482,2045.7142857142858
"2021-01-13",2211,2001.857142857143
"2021-01-14",2101,2019.2857142857142
"2021-01-15",2063,2026.4285714285713
"2021-01-16",1173,1995
"2021-01-17",715,1974.857142857143
"2021-01-18",3022,1966.7142857142858
"2021-01-19",2460,1963.5714285714287